id,date,type,city,state,ideology,group,description,image
3637,11/2017,Anti-Semitic Incident:Vandalism,Baltimore,MD,,,"""Dear Jews stop pushing war with Russia"" written on street sign.",
3632,10/2017,Anti-Semitic Incident:Vandalism,Baltimore,MD,,,"Swastika carved into table on campus at the University of Maryland, Baltimore County..",
3633,10/2017,Anti-Semitic Incident:Vandalism,College Park,MD,,,"Swastika carved inside a men's restroom stall in a dining hall at University of Maryland, College Park",
3634,10/2017,Anti-Semitic Incident:Vandalism,College Park,MD,,,"Swastika carved inside a men's restroom stall in a dining hall for the second time in two days at University of Maryland, College Park.",
3635,10/2017,Anti-Semitic Incident:Vandalism,Bowie,MD,,,A woman discovered a large swastika drawn on her car window.,
934,09/27/2017,White Supremacist Propaganda,Frederick,MD,Right Wing (White Supremacist),Loyal White Knights,"Loyal White Knights, a Klan group, posted an anti-Semitic flyer that also railed against feminism, television and schools.",
3629,9/5/2017,Anti-Semitic Incident:Harassment;White Supremacist Propaganda,Rockville,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed anti-Semitic flyers throughout neighborhoods in Rockville and Chevy Chase.",
3630,9/2017,Anti-Semitic Incident:Vandalism,College Park,MD,,,"A swastika was graffitied on a balcony railing at University of Maryland, College Park.",
3631,9/2017,Anti-Semitic Incident:Vandalism,College Park,MD,,,"A swastika was spray-painted on a trash cart near Hagerstown Hall at University of Maryland, College Park.",
3625,8/2017,Anti-Semitic Incident:Vandalism,Baltimore,MD,,,"First of four swastika Anti-Semitic Incident: Vandalism incidents on campus property at the University of Maryland, Baltimore County..",
3626,8/2017,Anti-Semitic Incident:Vandalism,Baltimore,MD,,,"Second of four swastika Anti-Semitic Incident: Vandalism incidents on campus property at the University of Maryland, Baltimore County.",
3627,8/2017,Anti-Semitic Incident:Vandalism,Baltimore,MD,,,"Third of four swastika Anti-Semitic Incident: Vandalism incidents on campus property at the University of Maryland, Baltimore County..",
3628,8/2017,Anti-Semitic Incident:Vandalism,Baltimore,MD,,,"Fourth of four acts of swastika Anti-Semitic Incident: Vandalism on campus property at the University of Maryland, Baltimore County.",
3624,7/2017,Anti-Semitic Incident:Harassment,Montgomery County,MD,,,Confidential,
3622,6/2017,Anti-Semitic Incident:Vandalism,Gaithersburg,MD,,,Confidential,
3623,6/2017,Anti-Semitic Incident:Harassment,Bel Air,MD,,,Anti-Semitic and racist flyers distributed throughout a residential neighborhood.,
3621,5/2017,Anti-Semitic Incident:Vandalism,Columbia,MD,,,Confidential,
599,04/11/2017,White Supremacist Propaganda,College Park,MD,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted flyers at the University of Maryland. The flyers read: ""Our Future Belongs to Us"" and ""Let's Become Great Again.""",
598,04/10/2017,White Supremacist Propaganda,College Park,MD,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted flyers at the University of Maryland. The flyers read: ""Our Destiny Is Ours.""",https://www.adl.org/sites/default/files/styles/max_650x650/public/2018-07/027--Identity-Evropa---stickers.jpg?itok=Ky8FTod4
3620,4/2017,Anti-Semitic Incident:Harassment,Lanham,MD,,,Confidential,
597,03/27/2017,White Supremacist Propaganda,College Park,MD,Right Wing (White Supremacist),Identity Evropa,"Identity Evropa, an alt right group, posted flyers at the University of Maryland in College Park. The flyers read: ""Our Future Belongs to Us"" and ""Protect Your Heritage.""",
1674,03/17/2017,White Supremacist Propaganda,Myersville,MD,Right Wing (White Supremacist),,An unknown individual distributed Ku Klux Klan materials in Myersville.,https://www.adl.org/sites/default/files/styles/max_325x325/public/2018-07/020--Identity-Evropa---lets-become-great-again.jpg?itok=K65FqKoT
596,03/13/2017,White Supremacist Propaganda,College Park,MD,Right Wing (White Supremacist),Vanguard America,"American Vanguard, a neo-Nazi group that has since rebranded as Vanguard America, posted flyers at the University of Maryland at College Park. The flyers read: ""It is your civic duty to report any and all illegal aliens. They are criminals. America is a white nation. Carry the torch of your people.""",
3614,3/2017,Anti-Semitic Incident:Harassment,Ashton,MD,,,Middle school students made Nazi references and drew swastikas.,
3615,3/2017,Anti-Semitic Incident:Harassment,Potomac,MD,,,Confidential,
3616,3/2017,Anti-Semitic Incident:Harassment,Rockville,MD,,,Bomb Threat - JCC of Greater Washington,
3617,3/2017,Anti-Semitic Incident:Harassment,Potomac,MD,,,Confidential,
3618,3/2017,Anti-Semitic Incident:Harassment,Baltimore,MD,,,Bomb Threat - JCC of Greater Baltimore,
3619,3/2017,Anti-Semitic Incident:Vandalism,Baltimore,MD,,,Confidential,
3610,2/2017,Anti-Semitic Incident:Harassment,Rockville,MD,,,Confidential,
3611,2/2017,Anti-Semitic Incident:Harassment,Rockville,MD,,,Bomb Threat - Charles E. Smith Jewish Day School,
